,cm_overall,epochs,network,pct_white,test_size,training_size,p_cm,P_cm,r_cm,R_cm,n_cm,N_cm,b_cm,B_cm,q_cm,Q_cm,k_cm,K_cm,white_cm,black_cm
1,"[[3748 3763]
 [1180 1309]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,1000,"[[476  85]
 [522 100]]","[[476 130]
 [451 169]]","[[273 108]
 [311 136]]","[[337 164]
 [346 165]]","[[233  48]
 [271  44]]","[[319  96]
 [264 117]]","[[273  60]
 [250  47]]","[[296  85]
 [271  95]]","[[284  75]
 [286  89]]","[[304 102]
 [347 136]]","[[211  95]
 [216  83]]","[[266 132]
 [228 128]]","[[1998  709]
 [1907  810]]","[[1750  471]
 [1856  499]]"
1,"[[1577 1494]
 [3351 3578]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,10000,"[[388 173]
 [379 243]]","[[ 41 565]
 [ 23 597]]","[[167 214]
 [185 262]]","[[ 87 414]
 [ 71 440]]","[[193  88]
 [220  95]]","[[ 18 397]
 [ 29 352]]","[[206 127]
 [172 125]]","[[ 26 355]
 [ 18 348]]","[[209 150]
 [179 196]]","[[ 29 377]
 [ 35 448]]","[[142 164]
 [119 180]]","[[ 71 327]
 [ 64 292]]","[[ 272 2435]
 [ 240 2477]]","[[1305  916]
 [1254 1101]]"
1,"[[2777 2510]
 [2151 2562]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,10000,"[[107 454]
 [ 45 577]]","[[549  57]
 [518 102]]","[[ 94 287]
 [ 86 361]]","[[372 129]
 [381 130]]","[[ 48 233]
 [ 35 280]]","[[392  23]
 [341  40]]","[[ 56 277]
 [ 37 260]]","[[358  23]
 [324  42]]","[[ 71 288]
 [ 36 339]]","[[355  51]
 [407  76]]","[[ 93 213]
 [ 71 228]]","[[282 116]
 [229 127]]","[[2308  399]
 [2200  517]]","[[ 469 1752]
 [ 310 2045]]"
1,"[[3272 2424]
 [1656 2648]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,10000,"[[383 178]
 [209 413]]","[[416 190]
 [227 393]]","[[219 162]
 [234 213]]","[[339 162]
 [302 209]]","[[199  82]
 [174 141]]","[[287 128]
 [191 190]]","[[232 101]
 [162 135]]","[[269 112]
 [183 183]]","[[231 128]
 [171 204]]","[[254 152]
 [243 240]]","[[183 123]
 [143 156]]","[[260 138]
 [185 171]]","[[1825  882]
 [1331 1386]]","[[1447  774]
 [1093 1262]]"
1,"[[3053 1372]
 [1875 3700]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,100000,"[[264 297]
 [ 65 557]]","[[447 159]
 [114 506]]","[[208 173]
 [128 319]]","[[318 183]
 [203 308]]","[[150 131]
 [ 64 251]]","[[307 108]
 [145 236]]","[[188 145]
 [ 77 220]]","[[269 112]
 [155 211]]","[[193 166]
 [ 63 312]]","[[276 130]
 [141 342]]","[[164 142]
 [ 98 201]]","[[269 129]
 [119 237]]","[[1886  821]
 [ 877 1840]]","[[1167 1054]
 [ 495 1860]]"
1,"[[2467  637]
 [2461 4435]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,100000,"[[244 317]
 [ 31 591]]","[[381 225]
 [ 55 565]]","[[128 253]
 [ 30 417]]","[[251 250]
 [103 408]]","[[131 150]
 [ 48 267]]","[[271 144]
 [ 91 290]]","[[136 197]
 [ 19 278]]","[[248 133]
 [ 93 273]]","[[133 226]
 [ 10 365]]","[[246 160]
 [ 86 397]]","[[101 205]
 [ 25 274]]","[[197 201]
 [ 46 310]]","[[1594 1113]
 [ 474 2243]]","[[ 873 1348]
 [ 163 2192]]"
1,"[[2217  537]
 [2711 4535]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,100000,"[[344 217]
 [ 62 560]]","[[203 403]
 [ 22 598]]","[[208 173]
 [ 95 352]]","[[174 327]
 [ 30 481]]","[[179 102]
 [ 92 223]]","[[133 282]
 [ 15 366]]","[[222 111]
 [ 67 230]]","[[127 254]
 [  7 359]]","[[213 146]
 [ 62 313]]","[[126 280]
 [ 16 467]]","[[147 159]
 [ 48 251]]","[[141 257]
 [ 21 335]]","[[ 904 1803]
 [ 111 2606]]","[[1313  908]
 [ 426 1929]]"
1,"[[3453  640]
 [1475 4432]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[436 125]
 [ 57 565]]","[[405 201]
 [ 60 560]]","[[278 103]
 [ 72 375]]","[[321 180]
 [ 65 446]]","[[215  66]
 [ 48 267]]","[[274 141]
 [ 39 342]]","[[274  59]
 [ 67 230]]","[[249 132]
 [ 58 308]]","[[275  84]
 [ 46 329]]","[[260 146]
 [ 68 415]]","[[213  93]
 [ 40 259]]","[[253 145]
 [ 20 336]]","[[1762  945]
 [ 310 2407]]","[[1691  530]
 [ 330 2025]]"
1,"[[4217 1079]
 [ 711 3993]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[496  65]
 [231 391]]","[[527  79]
 [ 61 559]]","[[311  70]
 [ 96 351]]","[[409  92]
 [ 95 416]]","[[250  31]
 [119 196]]","[[380  35]
 [ 41 340]]","[[288  45]
 [115 182]]","[[342  39]
 [ 55 311]]","[[302  57]
 [ 95 280]]","[[347  59]
 [ 71 412]]","[[241  65]
 [ 65 234]]","[[324  74]
 [ 35 321]]","[[2329  378]
 [ 358 2359]]","[[1888  333]
 [ 721 1634]]"
1,"[[4125  537]
 [ 803 4535]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[485  76]
 [ 78 544]]","[[517  89]
 [ 42 578]]","[[301  80]
 [ 58 389]]","[[394 107]
 [ 55 456]]","[[241  40]
 [ 47 268]]","[[379  36]
 [ 30 351]]","[[285  48]
 [ 52 245]]","[[336  45]
 [ 23 343]]","[[302  57]
 [ 58 317]]","[[337  69]
 [ 48 435]]","[[240  66]
 [ 24 275]]","[[308  90]
 [ 22 334]]","[[2271  436]
 [ 220 2497]]","[[1854  367]
 [ 317 2038]]"
1,"[[4140 1553]
 [ 788 3519]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[451 110]
 [ 76 546]]","[[545  61]
 [288 332]]","[[300  81]
 [ 88 359]]","[[423  78]
 [186 325]]","[[224  57]
 [ 59 256]]","[[392  23]
 [177 204]]","[[273  60]
 [105 192]]","[[346  35]
 [182 184]]","[[280  79]
 [ 73 302]]","[[352  54]
 [171 312]]","[[237  69]
 [ 58 241]]","[[317  81]
 [ 90 266]]","[[2375  332]
 [1094 1623]]","[[1765  456]
 [ 459 1896]]"
1,"[[4040  635]
 [ 888 4437]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[463  98]
 [ 58 564]]","[[508  98]
 [ 66 554]]","[[305  76]
 [ 65 382]]","[[387 114]
 [ 80 431]]","[[231  50]
 [ 35 280]]","[[359  56]
 [ 46 335]]","[[271  62]
 [ 55 242]]","[[331  50]
 [ 54 312]]","[[292  67]
 [ 49 326]]","[[335  71]
 [ 45 438]]","[[242  64]
 [ 45 254]]","[[316  82]
 [ 37 319]]","[[2236  471]
 [ 328 2389]]","[[1804  417]
 [ 307 2048]]"
1,"[[4217  636]
 [ 711 4436]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 256}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[491  70]
 [ 50 572]]","[[531  75]
 [ 52 568]]","[[315  66]
 [ 75 372]]","[[399 102]
 [ 72 439]]","[[248  33]
 [ 43 272]]","[[373  42]
 [ 34 347]]","[[298  35]
 [ 60 237]]","[[337  44]
 [ 52 314]]","[[307  52]
 [ 47 328]]","[[339  67]
 [ 82 401]]","[[250  56]
 [ 33 266]]","[[329  69]
 [ 36 320]]","[[2308  399]
 [ 328 2389]]","[[1909  312]
 [ 308 2047]]"
1,"[[3923 3921]
 [1005 1151]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 512}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,1000,"[[398 163]
 [401 221]]","[[580  26]
 [582  38]]","[[236 145]
 [253 194]]","[[440  61]
 [441  70]]","[[187  94]
 [207 108]]","[[398  17]
 [355  26]]","[[222 111]
 [189 108]]","[[359  22]
 [345  21]]","[[230 129]
 [221 154]]","[[374  32]
 [457  26]]","[[176 130]
 [185 114]]","[[323  75]
 [285  71]]","[[2474  233]
 [2465  252]]","[[1449  772]
 [1456  899]]"
